numcode,country,Carbon1971,Carbon1972,Carbon1973,Carbon1974,Carbon1975,Carbon1976,Carbon1977,Carbon1978,Carbon1979,Carbon1980,Carbon1981,Carbon1982,Carbon1983,Carbon1984,Carbon1985,Carbon1986,Carbon1987,Carbon1988,Carbon1989,Carbon1990,Carbon1991,Carbon1992,Carbon1993,Carbon1994,Carbon1995,Carbon1996,Carbon1997,Carbon1998,Carbon1999,Carbon2000,Carbon2001,Carbon2002,Carbon2003,Carbon2004,Carbon2005,Carbon2006,Carbon2007,Carbon2008,Carbon2009,Carbon2010,Carbon2011,Carbon2012,Carbon2013,Carbon2014,Carbon2015,Carbon2016,Carbon2017,Carbon2018,Carbon2019,Carbon2020,Carbon2021,Carbon2022,Carbon2023,Carbon2024,Carbon2025,Carbon2026,Carbon2027,Carbon2028,Carbon2029,Carbon2030,Carbon2031,Carbon2032,Carbon2033,Carbon2034,Carbon2035,Carbon2036,Carbon2037,Carbon2038,Carbon2039,Carbon2040,GDP1971,GDP1972,GDP1973,GDP1974,GDP1975,GDP1976,GDP1977,GDP1978,GDP1979,GDP1980,GDP1981,GDP1982,GDP1983,GDP1984,GDP1985,GDP1986,GDP1987,GDP1988,GDP1989,GDP1990,GDP1991,GDP1992,GDP1993,GDP1994,GDP1995,GDP1996,GDP1997,GDP1998,GDP1999,GDP2000,GDP2001,GDP2002,GDP2003,GDP2004,GDP2005,GDP2006,GDP2007,GDP2008,GDP2009,GDP2010,GDP2011,GDP2012,GDP2013,GDP2014,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,GDP2021,GDP2022,GDP2023,GDP2024,GDP2025,GDP2026,GDP2027,GDP2028,GDP2029,GDP2030,GDP2031,GDP2032,GDP2033,GDP2034,GDP2035,GDP2036,GDP2037,GDP2038,GDP2039,GDP2040,PECons1971,PECons1972,PECons1973,PECons1974,PECons1975,PECons1976,PECons1977,PECons1978,PECons1979,PECons1980,PECons1981,PECons1982,PECons1983,PECons1984,PECons1985,PECons1986,PECons1987,PECons1988,PECons1989,PECons1990,PECons1991,PECons1992,PECons1993,PECons1994,PECons1995,PECons1996,PECons1997,PECons1998,PECons1999,PECons2000,PECons2001,PECons2002,PECons2003,PECons2004,PECons2005,PECons2006,PECons2007,PECons2008,PECons2009,PECons2010,PECons2011,PECons2012,PECons2013,PECons2014,PECons2015,PECons2016,PECons2017,PECons2018,PECons2019,PECons2020,PECons2021,PECons2022,PECons2023,PECons2024,PECons2025,PECons2026,PECons2027,PECons2028,PECons2029,PECons2030,PECons2031,PECons2032,PECons2033,PECons2034,PECons2035,PECons2036,PECons2037,PECons2038,PECons2039,PECons2040,Population1971,Population1972,Population1973,Population1974,Population1975,Population1976,Population1977,Population1978,Population1979,Population1980,Population1981,Population1982,Population1983,Population1984,Population1985,Population1986,Population1987,Population1988,Population1989,Population1990,Population1991,Population1992,Population1993,Population1994,Population1995,Population1996,Population1997,Population1998,Population1999,Population2000,Population2001,Population2002,Population2003,Population2004,Population2005,Population2006,Population2007,Population2008,Population2009,Population2010,Population2011,Population2012,Population2013,Population2014,Population2015,Population2016,Population2017,Population2018,Population2019,Population2020,Population2021,Population2022,Population2023,Population2024,Population2025,Population2026,Population2027,Population2028,Population2029,Population2030,Population2031,Population2032,Population2033,Population2034,Population2035,Population2036,Population2037,Population2038,Population2039,Population2040
-2,Kosovo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.10,0.10,0.10,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,1.70,1.70,1.70,1.71,1.71,1.72,1.73,1.75,1.76,1.78,1.79,1.81,1.98,2.16,2.33,2.51,2.68,2.86,3.03,3.20,3.38,3.55,3.73,3.90,4.08,4.25,4.42,4.60,4.77,4.95,5.12,5.30,5.47,5.64,5.82,5.99,6.17,6.34,6.51,6.69
-1,Northern Cyprus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Albania,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.07,0.07,0.08,0.09,0.09,0.10,0.09,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.07,0.05,0.05,0.06,0.05,0.06,0.05,0.05,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10,2.20,2.25,2.31,2.37,2.43,2.49,2.55,2.61,2.67,2.74,2.80,2.86,2.93,3.00,3.08,3.16,3.25,3.34,3.40,3.45,3.46,3.45,3.42,3.38,3.36,3.34,3.33,3.33,3.32,3.31,3.29,3.26,3.24,3.22,3.20,3.18,3.17,3.16,3.15,3.15,3.15,3.16,3.46,3.77,4.07,4.38,4.68,4.99,5.29,5.59,5.90,6.20,6.51,6.81,7.11,7.42,7.72,8.03,8.33,8.64,8.94,9.24,9.55,9.85,10.16,10.46,10.77,11.07,11.37,11.68
12,Algeria,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.10,0.10,0.10,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.19,0.19,0.20,0.09,0.11,0.12,0.13,0.13,0.14,0.15,0.17,0.18,0.18,0.19,0.20,0.21,0.22,0.23,0.23,0.23,0.22,0.23,0.24,0.23,0.24,0.23,0.23,0.24,0.25,0.25,0.27,0.27,0.28,0.29,0.31,0.33,0.35,0.37,0.37,0.38,0.39,0.40,0.41,0.42,0.44,0.45,0.46,0.49,0.52,0.55,0.57,0.60,0.63,0.66,0.71,0.75,0.80,0.85,0.89,0.94,0.99,1.03,1.08,1.13,1.17,1.22,1.27,1.31,1.36,1.41,1.45,1.50,1.55,0.14,0.16,0.19,0.21,0.22,0.25,0.28,0.34,0.44,0.44,0.48,0.63,0.68,0.67,0.70,0.80,0.79,0.83,0.82,0.88,0.93,0.96,0.96,0.92,0.96,0.93,0.95,0.99,1.05,1.07,1.07,1.14,1.22,1.23,1.28,1.38,1.46,1.49,1.62,1.59,1.66,1.84,1.89,1.95,2.00,2.05,2.11,2.16,2.22,2.27,2.32,2.37,2.42,2.47,2.52,2.57,2.62,2.67,2.72,2.77,2.83,2.88,2.94,2.99,3.05,3.11,3.17,3.23,3.29,3.35,15.10,15.51,15.94,16.38,16.83,17.31,17.81,18.33,18.89,19.48,20.10,20.77,21.45,22.15,22.85,23.54,24.23,24.91,25.58,26.24,26.89,27.54,28.16,28.75,29.32,29.85,30.35,30.82,31.28,31.72,32.15,32.57,33.00,33.46,33.96,34.51,35.10,35.73,36.38,37.06,37.76,38.48,40.24,42.01,43.77,45.54,47.30,49.06,50.83,52.59,54.35,56.12,57.88,59.65,61.41,63.17,64.94,66.70,68.46,70.23,71.99,73.76,75.52,77.28,79.05,80.81,82.57,84.34,86.10,87.87
24,Angola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.10,0.12,0.12,0.12,0.13,0.14,0.14,0.14,0.15,0.16,0.17,0.18,0.19,0.20,0.21,0.22,0.23,0.25,0.26,0.28,0.29,0.31,0.32,0.34,0.35,0.37,0.38,0.39,0.41,0.42,0.44,0.45,0.47,0.48,0.15,0.16,0.16,0.17,0.16,0.16,0.16,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.20,0.20,0.21,0.21,0.22,0.23,0.24,0.24,0.25,0.25,0.25,0.26,0.27,0.27,0.29,0.30,0.31,0.33,0.36,0.37,0.36,0.40,0.43,0.46,0.51,0.54,0.55,0.57,0.58,0.60,0.62,0.63,0.65,0.67,0.68,0.70,0.72,0.73,0.75,0.76,0.78,0.79,0.81,0.82,0.84,0.85,0.87,0.89,0.91,0.92,0.94,0.96,0.98,1.00,1.01,1.03,6.05,6.18,6.32,6.48,6.64,6.81,6.99,7.18,7.40,7.64,7.90,8.19,8.49,8.79,9.06,9.32,9.56,9.80,10.05,10.33,10.65,11.00,11.37,11.74,12.11,12.45,12.79,13.14,13.51,13.93,14.39,14.89,15.42,15.98,16.54,17.12,17.71,18.31,18.93,19.55,20.18,20.82,21.77,22.73,23.68,24.64,25.59,26.55,27.50,28.45,29.41,30.36,31.32,32.27,33.23,34.18,35.13,36.09,37.04,38.00,38.95,39.91,40.86,41.82,42.77,43.72,44.68,45.63,46.59,47.54
28,Antigua and Barbuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,Azerbaijan,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.08,0.10,0.11,0.12,0.13,0.13,0.13,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.52,0.54,0.57,0.60,0.62,0.64,0.67,0.69,0.71,0.72,0.73,0.74,0.77,0.79,0.81,0.84,0.87,0.86,0.90,0.89,0.72,0.65,0.59,0.55,0.47,0.45,0.47,0.43,0.45,0.45,0.46,0.48,0.51,0.53,0.53,0.48,0.53,0.47,0.46,0.50,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.54,0.54,0.55,0.55,0.56,0.57,0.57,0.58,0.58,0.59,0.60,0.60,0.61,0.61,0.62,0.62,0.63,0.64,0.64,0.65,6.07,6.13,6.19,6.25,6.30,6.36,6.41,6.47,6.53,6.58,6.64,6.69,6.75,6.81,6.88,6.94,7.00,7.06,7.12,7.16,7.27,7.38,7.50,7.60,7.69,7.76,7.84,7.91,7.98,8.05,8.11,8.17,8.23,8.31,8.39,8.49,8.58,8.76,8.95,9.05,9.17,9.30,10.20,11.09,11.99,12.88,13.78,14.67,15.57,16.46,17.36,18.25,19.15,20.04,20.94,21.83,22.73,23.63,24.52,25.42,26.31,27.21,28.10,29.00,29.89,30.79,31.68,32.58,33.47,34.37
32,Argentina,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.09,0.10,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.15,0.15,0.16,0.16,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.22,0.23,0.23,0.25,0.25,0.24,0.26,0.25,0.27,0.28,0.27,0.25,0.26,0.27,0.25,0.27,0.28,0.27,0.25,0.24,0.27,0.31,0.33,0.34,0.33,0.35,0.38,0.40,0.38,0.38,0.36,0.32,0.35,0.38,0.42,0.45,0.49,0.53,0.53,0.58,0.63,0.66,0.69,0.71,0.74,0.77,0.79,0.82,0.84,0.87,0.89,0.93,0.96,0.99,1.03,1.06,1.09,1.13,1.16,1.20,1.23,1.26,1.30,1.33,1.36,1.40,1.43,1.46,1.50,1.53,1.34,1.36,1.41,1.44,1.43,1.48,1.52,1.54,1.63,1.66,1.62,1.63,1.66,1.72,1.64,1.74,1.84,1.90,1.85,1.83,1.88,1.98,1.99,2.12,2.15,2.22,2.30,2.37,2.41,2.44,2.32,2.26,2.42,2.64,2.66,2.89,2.92,3.08,3.00,3.12,3.17,3.18,3.24,3.30,3.35,3.41,3.47,3.52,3.58,3.64,3.69,3.75,3.80,3.86,3.91,3.97,4.02,4.08,4.14,4.20,4.26,4.32,4.38,4.44,4.49,4.55,4.61,4.67,4.73,4.79,24.37,24.79,25.22,25.65,26.07,26.48,26.89,27.29,27.70,28.12,28.55,28.99,29.44,29.89,30.34,30.80,31.26,31.71,32.17,32.63,33.08,33.52,33.96,34.40,34.83,35.26,35.69,36.11,36.52,36.90,37.27,37.63,37.97,38.31,38.65,38.99,39.33,39.68,40.02,40.37,40.73,41.09,41.58,42.06,42.55,43.03,43.52,44.00,44.49,44.97,45.46,45.94,46.43,46.91,47.40,47.89,48.37,48.86,49.34,49.83,50.31,50.80,51.28,51.77,52.25,52.74,53.22,53.71,54.20,54.68
36,Australia,0.16,0.16,0.17,0.18,0.18,0.19,0.20,0.20,0.20,0.21,0.21,0.22,0.21,0.22,0.22,0.22,0.24,0.23,0.26,0.26,0.26,0.27,0.28,0.27,0.28,0.30,0.31,0.32,0.33,0.33,0.32,0.33,0.34,0.35,0.35,0.35,0.36,0.37,0.38,0.37,0.37,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.30,0.30,0.30,0.29,0.25,0.25,0.26,0.27,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.32,0.34,0.35,0.37,0.38,0.40,0.41,0.43,0.43,0.43,0.45,0.47,0.48,0.50,0.52,0.55,0.57,0.60,0.61,0.63,0.65,0.68,0.70,0.72,0.75,0.77,0.79,0.80,0.82,0.85,0.87,0.97,1.06,1.10,1.14,1.18,1.22,1.25,1.29,1.33,1.37,1.41,1.44,1.48,1.52,1.55,1.59,1.63,1.66,1.70,1.73,1.77,1.81,1.84,1.88,1.92,1.95,1.99,2.03,2.05,2.11,2.26,2.34,2.40,2.45,2.63,2.64,2.70,2.76,2.78,2.90,2.78,2.87,2.88,2.94,3.08,3.09,3.34,3.43,3.38,3.44,3.61,3.61,3.68,3.92,4.02,4.12,4.21,4.29,4.20,4.34,4.40,4.47,4.50,4.56,4.70,4.86,4.84,4.86,4.88,5.09,5.14,5.20,5.25,5.31,5.36,5.42,5.47,5.53,5.57,5.61,5.65,5.69,5.73,5.76,5.78,5.80,5.82,5.84,5.84,5.85,5.86,5.86,5.87,5.87,5.87,5.87,5.86,5.86,13.20,13.41,13.61,13.83,13.97,14.11,14.28,14.43,14.60,14.81,15.05,15.29,15.48,15.68,15.90,16.14,16.40,16.69,16.94,17.17,17.39,17.58,17.76,17.95,18.19,18.42,18.61,18.81,19.04,19.27,19.53,19.77,20.01,20.25,20.54,20.87,21.26,21.73,22.13,22.43,22.76,23.13,23.26,23.39,23.53,23.66,23.79,23.92,24.06,24.19,24.32,24.45,24.59,24.72,24.85,24.98,25.12,25.25,25.38,25.51,25.65,25.78,25.91,26.04,26.17,26.31,26.44,26.57,26.70,26.84
