numcode,country,Carbon1971,Carbon1972,Carbon1973,Carbon1974,Carbon1975,Carbon1976,Carbon1977,Carbon1978,Carbon1979,Carbon1980,Carbon1981,Carbon1982,Carbon1983,Carbon1984,Carbon1985,Carbon1986,Carbon1987,Carbon1988,Carbon1989,Carbon1990,Carbon1991,Carbon1992,Carbon1993,Carbon1994,Carbon1995,Carbon1996,Carbon1997,Carbon1998,Carbon1999,Carbon2000,Carbon2001,Carbon2002,Carbon2003,Carbon2004,Carbon2005,Carbon2006,Carbon2007,Carbon2008,Carbon2009,Carbon2010,Carbon2011,Carbon2012,Carbon2013,Carbon2014,Carbon2015,Carbon2016,Carbon2017,Carbon2018,Carbon2019,Carbon2020,Carbon2021,Carbon2022,Carbon2023,Carbon2024,Carbon2025,Carbon2026,Carbon2027,Carbon2028,Carbon2029,Carbon2030,Carbon2031,Carbon2032,Carbon2033,Carbon2034,Carbon2035,Carbon2036,Carbon2037,Carbon2038,Carbon2039,Carbon2040,GDP1971,GDP1972,GDP1973,GDP1974,GDP1975,GDP1976,GDP1977,GDP1978,GDP1979,GDP1980,GDP1981,GDP1982,GDP1983,GDP1984,GDP1985,GDP1986,GDP1987,GDP1988,GDP1989,GDP1990,GDP1991,GDP1992,GDP1993,GDP1994,GDP1995,GDP1996,GDP1997,GDP1998,GDP1999,GDP2000,GDP2001,GDP2002,GDP2003,GDP2004,GDP2005,GDP2006,GDP2007,GDP2008,GDP2009,GDP2010,GDP2011,GDP2012,GDP2013,GDP2014,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,GDP2021,GDP2022,GDP2023,GDP2024,GDP2025,GDP2026,GDP2027,GDP2028,GDP2029,GDP2030,GDP2031,GDP2032,GDP2033,GDP2034,GDP2035,GDP2036,GDP2037,GDP2038,GDP2039,GDP2040,PECons1971,PECons1972,PECons1973,PECons1974,PECons1975,PECons1976,PECons1977,PECons1978,PECons1979,PECons1980,PECons1981,PECons1982,PECons1983,PECons1984,PECons1985,PECons1986,PECons1987,PECons1988,PECons1989,PECons1990,PECons1991,PECons1992,PECons1993,PECons1994,PECons1995,PECons1996,PECons1997,PECons1998,PECons1999,PECons2000,PECons2001,PECons2002,PECons2003,PECons2004,PECons2005,PECons2006,PECons2007,PECons2008,PECons2009,PECons2010,PECons2011,PECons2012,PECons2013,PECons2014,PECons2015,PECons2016,PECons2017,PECons2018,PECons2019,PECons2020,PECons2021,PECons2022,PECons2023,PECons2024,PECons2025,PECons2026,PECons2027,PECons2028,PECons2029,PECons2030,PECons2031,PECons2032,PECons2033,PECons2034,PECons2035,PECons2036,PECons2037,PECons2038,PECons2039,PECons2040,Population1971,Population1972,Population1973,Population1974,Population1975,Population1976,Population1977,Population1978,Population1979,Population1980,Population1981,Population1982,Population1983,Population1984,Population1985,Population1986,Population1987,Population1988,Population1989,Population1990,Population1991,Population1992,Population1993,Population1994,Population1995,Population1996,Population1997,Population1998,Population1999,Population2000,Population2001,Population2002,Population2003,Population2004,Population2005,Population2006,Population2007,Population2008,Population2009,Population2010,Population2011,Population2012,Population2013,Population2014,Population2015,Population2016,Population2017,Population2018,Population2019,Population2020,Population2021,Population2022,Population2023,Population2024,Population2025,Population2026,Population2027,Population2028,Population2029,Population2030,Population2031,Population2032,Population2033,Population2034,Population2035,Population2036,Population2037,Population2038,Population2039,Population2040
4,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011824368,0.011799474,0.012656737,0.014111737,0.013586474,0.013415053,0.014395947,0.014591842,0.01578,0.016175789,0.016730789,0.016423263,0.017391421,0.017668789,0.014165556,0.014136444,0.014413611,0.014370056,0.014522167,0.0273569,0.0274951,0.0266244,0.0267554,0.0280048,0.030415111,0.033827333,0.033991,0.034642556,0.035375556,0.036329111,0.037557556,0.038219333,0.039606222,0.041399111,0.041942111,0.042908222,0.042862333,0.045923111,0.049057333,0.054271556,0.058558,0.062103556,0.063800586,0.065497615,0.067194645,0.068891674,0.070588704,0.072285733,0.073982763,0.075679792,0.077266133,0.078852474,0.080438816,0.082025157,0.083611498,0.085473422,0.087335346,0.089197269,0.091059193,0.092921117,0.095011004,0.09710089,0.099190777,0.101280663,0.10337055,0.105864504,0.108358458,0.110852412,0.113346366,0.11584032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Albania,0.00412,0.0048,0.0042,0.00443,0.00479,0.00526,0.00557,0.00651,0.00565,0.00798,0.00686,0.00691,0.00743,0.00797,0.00746,0.00758,0.00754,0.00787,0.00781,0.00654,0.00418,0.00231,0.0021,0.00226,0.00189,0.0019,0.00145,0.00169,0.00297,0.00304,0.00319,0.0037,0.00377,0.00411,0.00414,0.00365,0.00366,0.00374,0.00352,0.00388,0.00422,0.00382,0.003892657,0.003965314,0.00403797,0.004110627,0.004183284,0.004255941,0.004328597,0.004401254,0.004419164,0.004437074,0.004454983,0.004472893,0.004544532,0.00456199,0.004579448,0.004596906,0.004614364,0.004684195,0.004704801,0.004725407,0.004746013,0.004766619,0.004849042,0.004868819,0.004888595,0.004908372,0.004928149,0.005007255,0.00685,0.00746,0.00828,0.00811,0.00859,0.0092,0.00978,0.01043,0.01103,0.01133,0.01198,0.01234,0.01247,0.01232,0.01254,0.01324,0.01314,0.01295,0.01423,0.01286,0.00906,0.00841,0.00921,0.00998,0.0113,0.01233,0.01107,0.01248,0.01374,0.01474,0.01578,0.01623,0.01716,0.01817,0.01917,0.02013,0.02132,0.02296,0.02372,0.02455,0.02528,0.02569,0.026020099,0.026350198,0.027451599,0.028553,0.029654401,0.030755801,0.031857202,0.032958603,0.034060004,0.035517677,0.03697535,0.038433023,0.039890696,0.041348369,0.042806042,0.044263715,0.045721388,0.047179062,0.048636735,0.050094408,0.051552081,0.053009754,0.054467427,0.0559251,0.057382773,0.058840446,0.060298119,0.061755792,0.068163,0.077044,0.069511,0.072451,0.078911,0.086916,0.092131,0.102931,0.089769,0.12188,0.107002,0.1068,0.112862,0.117352,0.107825,0.115612,0.1128,0.115679,0.11482,0.106057,0.074248,0.053893,0.052809,0.05616,0.052751,0.056298,0.048045,0.051831,0.069302,0.06997,0.070743,0.078096,0.078177,0.085928,0.085987,0.08185,0.080122,0.081514,0.083938,0.083751,0.088791,0.08232,0.082066261,0.081812523,0.081558784,0.081305046,0.081051307,0.080797568,0.08054383,0.080290091,0.081223158,0.082156224,0.083089291,0.084022357,0.084955424,0.085838036,0.086720648,0.087603259,0.088485871,0.089368483,0.090269077,0.091169671,0.092070266,0.09297086,0.093871454,0.09465979,0.095448126,0.096236463,0.097024799,0.097813135,2.2,2.25,2.31,2.37,2.43,2.49,2.55,2.61,2.67,2.74,2.8,2.86,2.93,3,3.08,3.16,3.25,3.34,3.4,3.45,3.46,3.45,3.42,3.38,3.36,3.34,3.33,3.33,3.32,3.31,3.29,3.26,3.24,3.22,3.2,3.18,3.17,3.16,3.15,3.15,3.15,3.16,3.464228119,3.768456238,4.072684357,4.376912476,4.681140595,4.985368714,5.289596834,5.593824953,5.898053072,6.202281191,6.50650931,6.810737429,7.114965548,7.419193667,7.723421786,8.027649905,8.331878024,8.636106143,8.940334263,9.244562382,9.548790501,9.85301862,10.15724674,10.46147486,10.76570298,11.0699311,11.37415922,11.67838733
10,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Algeria,0.00975,0.01112,0.01315,0.01419,0.01504,0.01716,0.01928,0.02292,0.02893,0.02902,0.0306,0.04068,0.04397,0.04418,0.04642,0.05091,0.05043,0.053,0.05245,0.05473,0.05833,0.05992,0.05933,0.05808,0.05977,0.05856,0.05889,0.06172,0.06518,0.06596,0.0664,0.0703,0.07514,0.07649,0.0801,0.08646,0.09179,0.09302,0.10109,0.09884,0.10397,0.11493,0.117540221,0.120150442,0.122760663,0.125370884,0.127981105,0.130591326,0.133201547,0.135811768,0.137532205,0.139252642,0.140973079,0.142693517,0.149575265,0.151135687,0.152696109,0.15425653,0.155816952,0.162058638,0.164157429,0.166256219,0.16835501,0.170453801,0.178848963,0.181336613,0.183824263,0.186311913,0.188799563,0.198750164,0.08938,0.1139,0.11824,0.1271,0.13351,0.14471,0.15232,0.16636,0.1788,0.18021,0.18562,0.1975,0.20816,0.21982,0.22795,0.22886,0.22726,0.22499,0.23489,0.23677,0.23393,0.23814,0.23314,0.23104,0.23982,0.24965,0.2524,0.26527,0.27376,0.27978,0.29268,0.30907,0.33133,0.34557,0.36596,0.37218,0.38484,0.39254,0.39921,0.41358,0.42433,0.43834,0.448906685,0.459473371,0.488207487,0.516941603,0.545675719,0.574409835,0.60314395,0.631878066,0.660612182,0.707304573,0.753996964,0.800689355,0.847381746,0.894074137,0.940766528,0.987458919,1.03415131,1.080843701,1.127536092,1.174228483,1.220920874,1.267613265,1.314305656,1.360998047,1.407690438,1.454382829,1.50107522,1.547767611,0.13747,0.159537,0.191351,0.205798,0.219059,0.250008,0.279835,0.344551,0.436488,0.444625,0.483393,0.62967,0.680478,0.674442,0.704088,0.79533,0.785399,0.829136,0.822135,0.880398,0.93126,0.956971,0.956662,0.922118,0.955859,0.931578,0.954616,0.987543,1.05453,1.07128,1.07423,1.14171,1.21808,1.22904,1.28304,1.37522,1.45994,1.48501,1.61986,1.59173,1.66069,1.83819,1.892279504,1.946369009,2.000458513,2.054548017,2.108637521,2.162727026,2.21681653,2.270906034,2.320084598,2.369263162,2.418441727,2.467620291,2.516798855,2.567783484,2.618768112,2.669752741,2.720737369,2.771721998,2.826845897,2.881969796,2.937093695,2.992217594,3.047341493,3.107595126,3.167848759,3.228102392,3.288356025,3.348609658,15.1,15.51,15.94,16.38,16.83,17.31,17.81,18.33,18.89,19.48,20.1,20.77,21.45,22.15,22.85,23.54,24.23,24.91,25.58,26.24,26.89,27.54,28.16,28.75,29.32,29.85,30.35,30.82,31.28,31.72,32.15,32.57,33,33.46,33.96,34.51,35.1,35.73,36.38,37.06,37.76,38.48,40.24379755,42.0075951,43.77139265,45.5351902,47.29898776,49.06278531,50.82658286,52.59038041,54.35417796,56.11797551,57.88177306,59.64557061,61.40936816,63.17316571,64.93696327,66.70076082,68.46455837,70.22835592,71.99215347,73.75595102,75.51974857,77.28354612,79.04734367,80.81114122,82.57493878,84.33873633,86.10253388,87.86633143
16,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Angola,0.00173,0.00252,0.00238,0.00252,0.0021,0.002,0.00162,0.00264,0.00263,0.00267,0.00256,0.00218,0.00237,0.00225,0.00289,0.00286,0.00297,0.00338,0.00348,0.00412,0.00419,0.00397,0.00431,0.00424,0.00393,0.00421,0.00437,0.00401,0.00482,0.00505,0.00566,0.00624,0.00766,0.00772,0.00641,0.00829,0.00962,0.01165,0.01392,0.01558,0.01562,0.01619,0.016557698,0.016925395,0.017293093,0.01766079,0.018028488,0.018396185,0.018763883,0.01913158,0.019373935,0.019616291,0.019858646,0.020101001,0.021070422,0.021290236,0.02151005,0.021729864,0.021949678,0.022828934,0.023124587,0.02342024,0.023715893,0.024011546,0.025194159,0.02554459,0.025895021,0.026245453,0.026595884,0.027997609,0.03006,0.03051,0.03259,0.03096,0.03033,0.02722,0.02785,0.02905,0.02971,0.03042,0.02908,0.02908,0.0303,0.03212,0.03325,0.03418,0.03688,0.03894,0.0391,0.03898,0.03851,0.03586,0.027,0.02794,0.03085,0.03431,0.03702,0.03953,0.04082,0.04204,0.04382,0.04988,0.05249,0.0582,0.06883,0.08311,0.10188,0.11596,0.11876,0.1228,0.12761,0.13633,0.13961639,0.14290278,0.151839501,0.160776221,0.169712941,0.178649662,0.187586382,0.196523103,0.205459823,0.219981823,0.234503824,0.249025824,0.263547825,0.278069825,0.292591825,0.307113826,0.321635826,0.336157827,0.350679827,0.365201828,0.379723828,0.394245828,0.408767829,0.423289829,0.43781183,0.45233383,0.46685583,0.481377831,0.152798,0.164498,0.163906,0.167444,0.163518,0.161599,0.159319,0.175265,0.177696,0.181062,0.182257,0.179779,0.184779,0.186685,0.198012,0.200292,0.205129,0.213458,0.218215,0.233444,0.239034,0.240367,0.248939,0.252343,0.253909,0.263068,0.270639,0.272028,0.287561,0.297546,0.312766,0.329463,0.357283,0.370429,0.362446,0.398843,0.427462,0.464074,0.505347,0.538235,0.54895,0.566717,0.583392883,0.600068766,0.616744649,0.633420533,0.650096416,0.666772299,0.683448182,0.700124065,0.715285897,0.730447729,0.745609562,0.760771394,0.775933226,0.791651871,0.807370516,0.82308916,0.838807805,0.85452645,0.871521239,0.888516028,0.905510816,0.922505605,0.939500394,0.958076688,0.976652982,0.995229276,1.01380557,1.032381864,6.05,6.18,6.32,6.48,6.64,6.81,6.99,7.18,7.4,7.64,7.9,8.19,8.49,8.79,9.06,9.32,9.56,9.8,10.05,10.33,10.65,11,11.37,11.74,12.11,12.45,12.79,13.14,13.51,13.93,14.39,14.89,15.42,15.98,16.54,17.12,17.71,18.31,18.93,19.55,20.18,20.82,21.77432082,22.72864163,23.68296245,24.63728327,25.59160408,26.5459249,27.50024571,28.45456653,29.40888735,30.36320816,31.31752898,32.2718498,33.22617061,34.18049143,35.13481224,36.08913306,37.04345388,37.99777469,38.95209551,39.90641633,40.86073714,41.81505796,42.76937878,43.72369959,44.67802041,45.63234122,46.58666204,47.54098286
28,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Azerbaijan,0.037641281,0.03941015,0.042935023,0.045289227,0.047058096,0.049997634,0.052351838,0.054693177,0.056462046,0.057421935,0.058627735,0.060322385,0.062252555,0.063124125,0.063818313,0.06649883,0.067363226,0.068373584,0.070356448,0.072784623,0.068326331,0.058737825,0.052940141,0.045459682,0.042916221,0.04148084,0.042117633,0.040850974,0.04287837,0.046669439,0.05668,0.05595,0.04724,0.04278,0.03879,0.03577,0.03058,0.02929,0.03082,0.02791,0.02896,0.02797,0.028501992,0.029033984,0.029565977,0.030097969,0.030629961,0.031161953,0.031693945,0.032225938,0.032357072,0.032488207,0.032619342,0.032750477,0.033275016,0.033402843,0.033530669,0.033658496,0.033786322,0.034297628,0.034448504,0.03459938,0.034750256,0.034901132,0.035504635,0.03564944,0.035794245,0.035939049,0.036083854,0.036663072,0.028097292,0.029417662,0.0320488,0.033806093,0.035126463,0.037320678,0.03907797,0.04082566,0.042146031,0.042862539,0.043762607,0.045027577,0.04646835,0.047118932,0.047637108,0.049637977,0.050283204,0.051037385,0.052517492,0.05433,0.05395,0.04176,0.03211,0.02578,0.02274,0.02304,0.02437,0.02681,0.0288,0.03199,0.03516,0.03889,0.04324,0.04765,0.06023,0.08101,0.1013,0.11222,0.12278,0.12874,0.12882,0.13165,0.133341614,0.135033228,0.140677425,0.146321621,0.151965818,0.157610014,0.163254211,0.168898407,0.174542604,0.18201254,0.189482476,0.196952413,0.204422349,0.211892285,0.219362221,0.226832158,0.234302094,0.24177203,0.249241966,0.256711902,0.264181839,0.271651775,0.279121711,0.286591647,0.294061584,0.30153152,0.309001456,0.316471392,0.488898585,0.515534437,0.539990993,0.567013314,0.598059075,0.621110874,0.643874024,0.66831294,0.690747351,0.705989602,0.716058627,0.732841941,0.743715975,0.76823026,0.794072329,0.808939336,0.843075242,0.867231923,0.860025329,0.899219,0.890893,0.721924,0.646933,0.58713,0.551685,0.466266,0.449215,0.46632,0.433674,0.448212,0.454123,0.458679,0.482445,0.507333,0.532769,0.525055,0.480644,0.528661,0.473665,0.459712,0.498427,0.543288,0.541613399,0.539938798,0.538264197,0.536589596,0.534914994,0.533240393,0.531565792,0.529891191,0.536049159,0.542207128,0.548365096,0.554523065,0.560681033,0.566506014,0.572330994,0.578155975,0.583980955,0.589805936,0.595749594,0.601693252,0.60763691,0.613580568,0.619524226,0.624727015,0.629929804,0.635132593,0.640335382,0.645538171,6.068108709,6.130815319,6.189042886,6.246026274,6.301267811,6.358002363,6.413990408,6.469480781,6.52521999,6.582203378,6.63893793,6.694677139,6.75091402,6.813869465,6.877571419,6.939282686,7.001242789,7.062207548,7.118195593,7.16,7.27,7.38,7.5,7.6,7.69,7.76,7.84,7.91,7.98,8.05,8.11,8.17,8.23,8.31,8.39,8.49,8.58,8.76,8.95,9.05,9.17,9.3,10.19535491,11.09070981,11.98606472,12.88141963,13.77677454,14.67212944,15.56748435,16.46283926,17.35819417,18.25354907,19.14890398,20.04425889,20.9396138,21.8349687,22.73032361,23.62567852,24.52103343,25.41638833,26.31174324,27.20709815,28.10245306,28.99780796,29.89316287,30.78851778,31.68387269,32.57922759,33.4745825,34.36993741
32,Argentina,0.08603,0.08755,0.09084,0.09097,0.08982,0.09322,0.09611,0.0964,0.10165,0.10119,0.0973,0.09783,0.09864,0.0999,0.09269,0.10232,0.1079,0.11351,0.11079,0.10681,0.11008,0.11561,0.11279,0.11819,0.11816,0.1243,0.12733,0.12997,0.13444,0.13552,0.12555,0.12132,0.12881,0.14731,0.14774,0.16116,0.1642,0.17902,0.17017,0.17851,0.18113,0.1808,0.183572235,0.18634447,0.189116705,0.19188894,0.194661175,0.197433409,0.200205644,0.202977879,0.204115885,0.205253891,0.206391896,0.207529902,0.212081925,0.213197766,0.214313607,0.215429448,0.21654529,0.221008654,0.222247889,0.223487125,0.22472636,0.225965595,0.230922536,0.232025145,0.233127753,0.234230362,0.23533297,0.239743404,0.22385,0.22749,0.23389,0.24683,0.24676,0.24178,0.25855,0.24689,0.27213,0.28343,0.26731,0.25406,0.2639,0.26974,0.24927,0.26891,0.27673,0.26966,0.24944,0.24346,0.2743,0.30706,0.32519,0.34417,0.33438,0.35286,0.38148,0.39617,0.38276,0.37974,0.363,0.32345,0.35203,0.38382,0.41905,0.45453,0.49386,0.52723,0.53172,0.58043,0.63191,0.65858,0.686056632,0.713533264,0.739271447,0.76500963,0.790747813,0.816485996,0.842224178,0.867962361,0.893700544,0.927239829,0.960779114,0.994318399,1.027857683,1.061396968,1.094936253,1.128475538,1.162014823,1.195554107,1.229093392,1.262632677,1.296171962,1.329711246,1.363250531,1.396789816,1.430329101,1.463868385,1.49740767,1.530946955,1.33543,1.35702,1.41267,1.44052,1.42643,1.47556,1.51596,1.54356,1.63132,1.65941,1.62039,1.62977,1.65853,1.7193,1.64041,1.74106,1.83604,1.89914,1.84541,1.8282,1.88432,1.98226,1.98845,2.11579,2.14614,2.2247,2.29536,2.37413,2.41471,2.44337,2.32399,2.25879,2.41629,2.64013,2.65749,2.89135,2.9193,3.08334,2.99879,3.12425,3.17149,3.18376,3.240267671,3.296775342,3.353283013,3.409790685,3.466298356,3.522806027,3.579313698,3.635821369,3.690872162,3.745922956,3.800973749,3.856024543,3.911075336,3.967945909,4.024816482,4.081687056,4.138557629,4.195428202,4.255338299,4.315248396,4.375158493,4.43506859,4.494978687,4.55454942,4.614120152,4.673690885,4.733261617,4.79283235,24.37,24.79,25.22,25.65,26.07,26.48,26.89,27.29,27.7,28.12,28.55,28.99,29.44,29.89,30.34,30.8,31.26,31.71,32.17,32.63,33.08,33.52,33.96,34.4,34.83,35.26,35.69,36.11,36.52,36.9,37.27,37.63,37.97,38.31,38.65,38.99,39.33,39.68,40.02,40.37,40.73,41.09,41.57539403,42.06078806,42.54618209,43.03157612,43.51697015,44.00236418,44.48775821,44.97315224,45.45854627,45.9439403,46.42933434,46.91472837,47.4001224,47.88551643,48.37091046,48.85630449,49.34169852,49.82709255,50.31248658,50.79788061,51.28327464,51.76866867,52.2540627,52.73945673,53.22485076,53.71024479,54.19563882,54.68103285
