numcode,country,Carbon1971,Carbon1972,Carbon1973,Carbon1974,Carbon1975,Carbon1976,Carbon1977,Carbon1978,Carbon1979,Carbon1980,Carbon1981,Carbon1982,Carbon1983,Carbon1984,Carbon1985,Carbon1986,Carbon1987,Carbon1988,Carbon1989,Carbon1990,Carbon1991,Carbon1992,Carbon1993,Carbon1994,Carbon1995,Carbon1996,Carbon1997,Carbon1998,Carbon1999,Carbon2000,Carbon2001,Carbon2002,Carbon2003,Carbon2004,Carbon2005,Carbon2006,Carbon2007,Carbon2008,Carbon2009,Carbon2010,Carbon2011,Carbon2012,Carbon2013,Carbon2014,Carbon2015,Carbon2016,Carbon2017,Carbon2018,Carbon2019,Carbon2020,Carbon2021,Carbon2022,Carbon2023,Carbon2024,Carbon2025,Carbon2026,Carbon2027,Carbon2028,Carbon2029,Carbon2030,Carbon2031,Carbon2032,Carbon2033,Carbon2034,Carbon2035,Carbon2036,Carbon2037,Carbon2038,Carbon2039,Carbon2040
12,Algeria,0.00975,0.01112,0.01315,0.01419,0.01504,0.01716,0.01928,0.02292,0.02893,0.02902,0.0306,0.04068,0.04397,0.04418,0.04642,0.05091,0.05043,0.053,0.05245,0.05473,0.05833,0.05992,0.05933,0.05808,0.05977,0.05856,0.05889,0.06172,0.06518,0.06596,0.0664,0.0703,0.07514,0.07649,0.0801,0.08646,0.09179,0.09302,0.10109,0.09884,0.10397,0.11493,0.117540221,0.120150442,0.122760663,0.125370884,0.127981105,0.130591326,0.133201547,0.135811768,0.137532205,0.139252642,0.140973079,0.142693517,0.149575265,0.151135687,0.152696109,0.15425653,0.155816952,0.162058638,0.164157429,0.166256219,0.16835501,0.170453801,0.178848963,0.181336613,0.183824263,0.186311913,0.188799563,0.198750164
24,Angola,0.00173,0.00252,0.00238,0.00252,0.0021,0.002,0.00162,0.00264,0.00263,0.00267,0.00256,0.00218,0.00237,0.00225,0.00289,0.00286,0.00297,0.00338,0.00348,0.00412,0.00419,0.00397,0.00431,0.00424,0.00393,0.00421,0.00437,0.00401,0.00482,0.00505,0.00566,0.00624,0.00766,0.00772,0.00641,0.00829,0.00962,0.01165,0.01392,0.01558,0.01562,0.01619,0.016557698,0.016925395,0.017293093,0.01766079,0.018028488,0.018396185,0.018763883,0.01913158,0.019373935,0.019616291,0.019858646,0.020101001,0.021070422,0.021290236,0.02151005,0.021729864,0.021949678,0.022828934,0.023124587,0.02342024,0.023715893,0.024011546,0.025194159,0.02554459,0.025895021,0.026245453,0.026595884,0.027997609
204,Benin,0.0003,0.0004,0.00041,0.00042,0.00046,0.00028,0.00033,0.00038,0.00038,0.00039,0.0003,0.00036,0.00036,0.00037,0.00047,0.00041,0.00036,0.00035,0.00027,0.00024,0.0002,0.00021,0.00021,0.00021,0.00021,0.00086,0.00115,0.00113,0.00143,0.00148,0.00169,0.00195,0.00226,0.00241,0.00229,0.00317,0.00377,0.00379,0.00406,0.0045,0.00468,0.00492,0.00503174,0.00514348,0.00525522,0.00536696,0.0054787,0.00559044,0.005702181,0.005813921,0.00588757,0.00596122,0.006034869,0.006108519,0.006403118,0.006469917,0.006536717,0.006603516,0.006670316,0.006937514,0.007027361,0.007117207,0.007207053,0.0072969,0.007656286,0.007762779,0.007869272,0.007975764,0.008082257,0.008508229
72,Botswana,0,0,0,0,0,0,0,0,0,0,0.00136,0.00142,0.00138,0.00137,0.00148,0.0017,0.00177,0.00212,0.00233,0.00276,0.00269,0.00324,0.00319,0.00305,0.00316,0.0029,0.00306,0.00367,0.00384,0.00399,0.00397,0.00406,0.00392,0.00399,0.00419,0.00428,0.00435,0.00462,0.00402,0.00478,0.0045,0.00446,0.004561293,0.004662586,0.004763879,0.004865171,0.004966464,0.005067757,0.00516905,0.005270343,0.005337106,0.00540387,0.005470634,0.005537397,0.005804452,0.005865006,0.00592556,0.005986114,0.006046668,0.006288885,0.006370331,0.006451777,0.006533223,0.006614669,0.006940454,0.00703699,0.007133527,0.007230063,0.007326599,0.007712745
120,Cameroon,0.00073,0.00076,0.00079,0.00082,0.00104,0.00096,0.00139,0.00147,0.00159,0.0017,0.00187,0.00202,0.0022,0.0023,0.00254,0.00247,0.00244,0.00262,0.00283,0.00273,0.00255,0.00239,0.00255,0.00271,0.0026,0.00261,0.00275,0.00286,0.00261,0.00301,0.00292,0.00303,0.00334,0.00346,0.0032,0.0034,0.00529,0.00507,0.00622,0.00632,0.00543,0.00566,0.005788547,0.005917093,0.00604564,0.006174186,0.006302733,0.006431279,0.006559826,0.006688372,0.006773099,0.006857826,0.006942553,0.00702728,0.007366188,0.007443035,0.007519881,0.007596728,0.007673575,0.007980961,0.008084321,0.008187681,0.008291041,0.008394401,0.008807841,0.008930351,0.009052861,0.009175371,0.009297882,0.009787922
178,Congo,0.00058,0.00061,0.0006,0.00061,0.00061,0.00075,0.00064,0.00068,0.00066,0.0007,0.00073,0.0008,0.00093,0.00084,0.00087,0.00081,0.00082,0.00072,0.00076,0.00072,0.00075,0.00072,0.00071,0.00047,0.00058,0.00046,0.00037,0.00033,0.00032,0.0005,0.00063,0.00051,0.00086,0.00086,0.00099,0.00113,0.00123,0.00132,0.00173,0.00196,0.00228,0.0023,0.002352236,0.002404472,0.002456709,0.002508945,0.002561181,0.002613417,0.002665654,0.00271789,0.002752319,0.002786749,0.002821179,0.002855609,0.002993327,0.003024555,0.003055782,0.00308701,0.003118237,0.003243147,0.003285148,0.00332715,0.003369151,0.003411152,0.003579158,0.003628941,0.003678724,0.003728508,0.003778291,0.003977424
384,Côte d'Ivoire,0.00241,0.00265,0.00273,0.00287,0.00309,0.00356,0.00349,0.00403,0.00371,0.00343,0.00301,0.0027,0.00242,0.00223,0.00247,0.00332,0.00324,0.00333,0.00323,0.00293,0.00302,0.00406,0.00435,0.00444,0.00388,0.00533,0.00535,0.00492,0.00783,0.00675,0.00585,0.00702,0.00566,0.00626,0.00648,0.00526,0.00649,0.0066,0.00557,0.00593,0.00627,0.00834,0.008529413,0.008718826,0.008908239,0.009097652,0.009287065,0.009476478,0.009665891,0.009855304,0.00998015,0.010104995,0.01022984,0.010354685,0.010854065,0.010967299,0.011080532,0.011193765,0.011306999,0.011759932,0.011912233,0.012064534,0.012216834,0.012369135,0.012978338,0.013158856,0.013339375,0.013519893,0.013700412,0.014422486
180,Democratic Republic of Congo,0.00266,0.00271,0.00287,0.00292,0.00294,0.00277,0.00291,0.00297,0.0034,0.0029,0.00351,0.0028,0.00369,0.0043,0.00338,0.00309,0.00342,0.00365,0.0032,0.00413,0.00307,0.00278,0.00265,0.00166,0.00205,0.00225,0.00185,0.00163,0.00134,0.00085,0.00071,0.00076,0.00093,0.00102,0.00127,0.00137,0.0015,0.00167,0.00153,0.00179,0.00229,0.00241,0.002464734,0.002519469,0.002574203,0.002628938,0.002683672,0.002738407,0.002793141,0.002847876,0.002883952,0.002920028,0.002956105,0.002992181,0.003136486,0.003169207,0.003201928,0.003234649,0.00326737,0.003398254,0.003442264,0.003486274,0.003530284,0.003574294,0.003750335,0.003802499,0.003854663,0.003906828,0.003958992,0.004167649
818,Egypt,0.02024,0.0224,0.02044,0.02344,0.02555,0.02979,0.03227,0.03316,0.0366,0.03856,0.04565,0.05029,0.05616,0.06227,0.06735,0.06843,0.07345,0.07537,0.07993,0.08391,0.0833,0.08554,0.08772,0.08254,0.08789,0.09438,0.09839,0.10603,0.10532,0.09968,0.11157,0.11254,0.11689,0.12882,0.15,0.15846,0.16902,0.17682,0.18204,0.17701,0.18562,0.19026,0.194581071,0.198902141,0.203223212,0.207544282,0.211865353,0.216186424,0.220507494,0.224828565,0.227676649,0.230524734,0.233372819,0.236220904,0.247613243,0.250196431,0.252779619,0.255362807,0.257945995,0.268278748,0.271753175,0.275227602,0.278702029,0.282176456,0.296074164,0.300192326,0.304310487,0.308428649,0.31254681,0.329019457
232,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046,0.00061,0.00069,0.00078,0.00085,0.00075,0.00058,0.00062,0.0006,0.00063,0.0006,0.00072,0.00077,0.00077,0.00055,0.00057,0.0004,0.0005,0.0005,0.00051,0.00054,0.000552264,0.000564528,0.000576792,0.000589057,0.000601321,0.000613585,0.000625849,0.000638113,0.000646197,0.00065428,0.000662364,0.000670447,0.000702781,0.000710113,0.000717445,0.000724776,0.000732108,0.000761434,0.000771296,0.000781157,0.000791018,0.000800879,0.000840324,0.000852012,0.000863701,0.000875389,0.000887077,0.00093383
