numcode,country,PECons1971,PECons1972,PECons1973,PECons1974,PECons1975,PECons1976,PECons1977,PECons1978,PECons1979,PECons1980,PECons1981,PECons1982,PECons1983,PECons1984,PECons1985,PECons1986,PECons1987,PECons1988,PECons1989,PECons1990,PECons1991,PECons1992,PECons1993,PECons1994,PECons1995,PECons1996,PECons1997,PECons1998,PECons1999,PECons2000,PECons2001,PECons2002,PECons2003,PECons2004,PECons2005,PECons2006,PECons2007,PECons2008,PECons2009,PECons2010,PECons2011,PECons2012,PECons2040
12,Algeria,0.13747,0.159537,0.191351,0.205798,0.219059,0.250008,0.279835,0.344551,0.436488,0.444625,0.483393,0.62967,0.680478,0.674442,0.704088,0.79533,0.785399,0.829136,0.822135,0.880398,0.93126,0.956971,0.956662,0.922118,0.955859,0.931578,0.954616,0.987543,1.05453,1.07128,1.07423,1.14171,1.21808,1.22904,1.28304,1.37522,1.45994,1.48501,1.61986,1.59173,1.66069,1.83819,4.35969839
24,Angola,0.152798,0.164498,0.163906,0.167444,0.163518,0.161599,0.159319,0.175265,0.177696,0.181062,0.182257,0.179779,0.184779,0.186685,0.198012,0.200292,0.205129,0.213458,0.218215,0.233444,0.239034,0.240367,0.248939,0.252343,0.253909,0.263068,0.270639,0.272028,0.287561,0.297546,0.312766,0.329463,0.357283,0.370429,0.362446,0.398843,0.427462,0.464074,0.505347,0.538235,0.54895,0.566717,2.282044212
204,Benin,0.043846,0.045926,0.046915,0.047939,0.049344,0.047845,0.049539,0.051483,0.05236,0.053669,0.053579,0.055431,0.056982,0.058379,0.061213,0.061794,0.062651,0.06427,0.064644,0.065921,0.066927,0.068579,0.070191,0.071716,0.07329,0.085343,0.088545,0.087344,0.091113,0.078672,0.083667,0.089751,0.094657,0.098823,0.099172,0.117018,0.127226,0.130052,0.13645,0.144965,0.149557,0.155352,0.206147284
72,Botswana,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.029948,0.031388,0.031725,0.032335,0.034155,0.03741,0.037203,0.043781,0.046787,0.048342,0.049236,0.056739,0.056949,0.056077,0.05743,0.055989,0.058788,0.066362,0.06853,0.070696,0.072113,0.074,0.073891,0.071747,0.074451,0.076172,0.078843,0.083257,0.077258,0.086612,0.085106,0.085859,1.098957956
854,Burkina Faso,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,0.501914272
108,Burundi,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,0.050941919
120,Cameroon,0.106945,0.109315,0.111727,0.114793,0.120453,0.122237,0.13081,0.135124,0.140213,0.145049,0.152266,0.159265,0.164915,0.170278,0.176882,0.179504,0.182855,0.188665,0.195624,0.19764,0.199557,0.201728,0.208713,0.215955,0.219728,0.225155,0.231566,0.238242,0.24009,0.250367,0.253323,0.259347,0.269898,0.278343,0.280046,0.26677,0.25156,0.253762,0.274348,0.276443,0.269516,0.277195,0.870277613
132,Cape Verde,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,0.007382277
140,Central African Republic,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,1.140352155
148,Chad,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,2.350320662
