numcode,country,GDP1971,GDP1972,GDP1973,GDP1974,GDP1975,GDP1976,GDP1977,GDP1978,GDP1979,GDP1980,GDP1981,GDP1982,GDP1983,GDP1984,GDP1985,GDP1986,GDP1987,GDP1988,GDP1989,GDP1990,GDP1991,GDP1992,GDP1993,GDP1994,GDP1995,GDP1996,GDP1997,GDP1998,GDP1999,GDP2000,GDP2001,GDP2002,GDP2003,GDP2004,GDP2005,GDP2006,GDP2007,GDP2008,GDP2009,GDP2010,GDP2011,GDP2012,GDP2013,GDP2014,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,GDP2021,GDP2022,GDP2023,GDP2024,GDP2025,GDP2026,GDP2027,GDP2028,GDP2029,GDP2030,GDP2031,GDP2032,GDP2033,GDP2034,GDP2035,GDP2036,GDP2037,GDP2038,GDP2039,GDP2040
12,Algeria,0.08938,0.1139,0.11824,0.1271,0.13351,0.14471,0.15232,0.16636,0.1788,0.18021,0.18562,0.1975,0.20816,0.21982,0.22795,0.22886,0.22726,0.22499,0.23489,0.23677,0.23393,0.23814,0.23314,0.23104,0.23982,0.24965,0.2524,0.26527,0.27376,0.27978,0.29268,0.30907,0.33133,0.34557,0.36596,0.37218,0.38484,0.39254,0.39921,0.41358,0.42433,0.43834,0.448906685,0.459473371,0.488207487,0.516941603,0.545675719,0.574409835,0.60314395,0.631878066,0.660612182,0.707304573,0.753996964,0.800689355,0.847381746,0.894074137,0.940766528,0.987458919,1.03415131,1.080843701,1.127536092,1.174228483,1.220920874,1.267613265,1.314305656,1.360998047,1.407690438,1.454382829,1.50107522,1.547767611
24,Angola,0.03006,0.03051,0.03259,0.03096,0.03033,0.02722,0.02785,0.02905,0.02971,0.03042,0.02908,0.02908,0.0303,0.03212,0.03325,0.03418,0.03688,0.03894,0.0391,0.03898,0.03851,0.03586,0.027,0.02794,0.03085,0.03431,0.03702,0.03953,0.04082,0.04204,0.04382,0.04988,0.05249,0.0582,0.06883,0.08311,0.10188,0.11596,0.11876,0.1228,0.12761,0.13633,0.13961639,0.14290278,0.151839501,0.160776221,0.169712941,0.178649662,0.187586382,0.196523103,0.205459823,0.219981823,0.234503824,0.249025824,0.263547825,0.278069825,0.292591825,0.307113826,0.321635826,0.336157827,0.350679827,0.365201828,0.379723828,0.394245828,0.408767829,0.423289829,0.43781183,0.45233383,0.46685583,0.481377831
204,Benin,0.00333,0.00355,0.00368,0.0038,0.00362,0.00365,0.00383,0.00388,0.00413,0.00441,0.00485,0.00496,0.00474,0.00512,0.0055,0.00562,0.00554,0.00573,0.00556,0.00606,0.00632,0.00651,0.00689,0.00703,0.00745,0.00777,0.00822,0.00854,0.009,0.00944,0.01003,0.01047,0.01088,0.01122,0.01154,0.01197,0.01252,0.01315,0.0135,0.01385,0.01434,0.01511,0.015474244,0.015838488,0.01682898,0.017819473,0.018809965,0.019800458,0.02079095,0.021781443,0.022771935,0.024381467,0.025990998,0.02760053,0.029210061,0.030819593,0.032429124,0.034038656,0.035648187,0.037257718,0.03886725,0.040476781,0.042086313,0.043695844,0.045305376,0.046914907,0.048524439,0.05013397,0.051743502,0.053353033
72,Botswana,,,,,,,,,,,0.00386,0.00433,0.0049,0.00532,0.0057,0.00617,0.0069,0.00824,0.00932,0.00995,0.01069,0.011,0.01121,0.01162,0.01243,0.01316,0.01421,0.01432,0.0157,0.01601,0.01605,0.01703,0.01782,0.0183,0.01913,0.02065,0.02245,0.02332,0.02149,0.02334,0.02477,0.0258,0.026421938,0.027043877,0.028735122,0.030426366,0.032117611,0.033808856,0.0355001,0.037191345,0.03888259,0.04163083,0.04437907,0.047127311,0.049875551,0.052623791,0.055372032,0.058120272,0.060868513,0.063616753,0.066364993,0.069113234,0.071861474,0.074609714,0.077357955,0.080106195,0.082854436,0.085602676,0.088350916,0.091099157
120,Cameroon,0.0113,0.0116,0.01222,0.01354,0.01506,0.01423,0.01618,0.01975,0.02094,0.02053,0.02403,0.02584,0.02761,0.02968,0.03207,0.03424,0.03351,0.03088,0.03032,0.02847,0.02739,0.02654,0.02569,0.02505,0.02587,0.02717,0.02855,0.02999,0.03131,0.03262,0.0341,0.03546,0.03689,0.03826,0.03914,0.0404,0.04155,0.04305,0.04386,0.04532,0.04718,0.04934,0.050529397,0.051718794,0.054953135,0.058187477,0.061421819,0.06465616,0.067890502,0.071124843,0.074359185,0.079614928,0.084870672,0.090126415,0.095382158,0.100637902,0.105893645,0.111149389,0.116405132,0.121660876,0.126916619,0.132172362,0.137428106,0.142683849,0.147939593,0.153195336,0.15845108,0.163706823,0.168962566,0.17421831
178,Congo,0.00405,0.0044,0.00476,0.00514,0.00553,0.00558,0.00508,0.00541,0.00594,0.00699,0.00822,0.01016,0.01075,0.0115,0.01136,0.01058,0.0106,0.01079,0.01107,0.01118,0.01145,0.01175,0.01163,0.011,0.01143,0.01192,0.01185,0.01229,0.01198,0.01288,0.01337,0.01399,0.0141,0.01459,0.01572,0.0167,0.01644,0.01735,0.01865,0.02028,0.02097,0.02177,0.022294791,0.022819581,0.024246651,0.025673721,0.02710079,0.02852786,0.02995493,0.031381999,0.032809069,0.03512803,0.037446991,0.039765952,0.042084913,0.044403874,0.046722835,0.049041796,0.051360757,0.053679718,0.055998678,0.058317639,0.0606366,0.062955561,0.065274522,0.067593483,0.069912444,0.072231405,0.074550366,0.076869327
384,C“te d'Ivoire,0.02031,0.02117,0.02242,0.02339,0.02533,0.0286,0.03069,0.03404,0.03485,0.03103,0.03212,0.03218,0.03093,0.03009,0.03145,0.03247,0.03236,0.03273,0.03369,0.03332,0.03333,0.03325,0.03319,0.03346,0.03584,0.03861,0.04082,0.04276,0.04344,0.04183,0.04182,0.04123,0.04058,0.04131,0.04183,0.04212,0.04284,0.04384,0.04548,0.04657,0.04437,0.04858,0.049751076,0.050922153,0.054106675,0.057291196,0.060475718,0.06366024,0.066844762,0.070029284,0.073213806,0.078388594,0.083563381,0.088738169,0.093912956,0.099087744,0.104262531,0.109437319,0.114612106,0.119786894,0.124961681,0.130136469,0.135311256,0.140486044,0.145660831,0.150835619,0.156010406,0.161185194,0.166359981,0.171534769
180,Democratic Republic of Congo,0.02364,0.02367,0.0256,0.0264,0.02509,0.02375,0.02393,0.02266,0.02275,0.02325,0.0238,0.02369,0.02402,0.02536,0.02547,0.02668,0.02739,0.02752,0.02717,0.02539,0.02325,0.02081,0.018,0.0173,0.01742,0.01724,0.01628,0.01601,0.01533,0.01427,0.01397,0.01445,0.01529,0.01631,0.01758,0.01856,0.01972,0.02093,0.02153,0.02307,0.02466,0.02642,0.027056884,0.027693768,0.029425655,0.031157542,0.032889429,0.034621316,0.036353203,0.03808509,0.039816977,0.042631261,0.045445544,0.048259827,0.051074111,0.053888394,0.056702678,0.059516961,0.062331244,0.065145528,0.067959811,0.070774094,0.073588378,0.076402661,0.079216944,0.082031228,0.084845511,0.087659795,0.090474078,0.093288361
818,Egypt,0.097,0.09897,0.09967,0.10215,0.11128,0.12756,0.14393,0.15225,0.16144,0.17761,0.18428,0.20253,0.21752,0.23077,0.24601,0.25252,0.25888,0.2726,0.28616,0.30248,0.30574,0.31929,0.32855,0.3416,0.35746,0.3753,0.3959,0.41188,0.43703,0.46049,0.47677,0.48807,0.50366,0.52427,0.54771,0.5852,0.62668,0.67152,0.70299,0.73917,0.7522,0.76885,0.787384006,0.805918011,0.856317758,0.906717505,0.957117252,1.007516999,1.057916746,1.108316493,1.158716239,1.240614868,1.322513496,1.404412125,1.486310753,1.568209382,1.65010801,1.732006638,1.813905267,1.895803895,1.977702524,2.059601152,2.141499781,2.223398409,2.305297038,2.387195666,2.469094294,2.550992923,2.632891551,2.71479018
232,Eritrea,,,,,,,,,,,,,,,,,,,,,,0.00309,0.0035,0.00425,0.00437,0.00477,0.00515,0.00524,0.00524,0.00508,0.00552,0.00569,0.00554,0.00562,0.00576,0.00571,0.00579,0.00522,0.00543,0.00554,0.00603,0.00645,0.006605485,0.006760969,0.00718378,0.007606592,0.008029403,0.008452214,0.008875025,0.009297836,0.009720647,0.010407707,0.011094768,0.011781828,0.012468888,0.013155948,0.013843008,0.014530068,0.015217128,0.015904188,0.016591248,0.017278308,0.017965369,0.018652429,0.019339489,0.020026549,0.020713609,0.021400669,0.022087729,0.022774789
