numcode,country,Population1971,Population1972,Population1973,Population1974,Population1975,Population1976,Population1977,Population1978,Population1979,Population1980,Population1981,Population1982,Population1983,Population1984,Population1985,Population1986,Population1987,Population1988,Population1989,Population1990,Population1991,Population1992,Population1993,Population1994,Population1995,Population1996,Population1997,Population1998,Population1999,Population2000,Population2001,Population2002,Population2003,Population2004,Population2005,Population2006,Population2007,Population2008,Population2009,Population2010,Population2011,Population2012,Population2013,Population2014,Population2015,Population2016,Population2017,Population2018,Population2019,Population2020,Population2021,Population2022,Population2023,Population2024,Population2025,Population2026,Population2027,Population2028,Population2029,Population2030,Population2031,Population2032,Population2033,Population2034,Population2035,Population2036,Population2037,Population2038,Population2039,Population2040
12,Algeria,15.1,15.51,15.94,16.38,16.83,17.31,17.81,18.33,18.89,19.48,20.1,20.77,21.45,22.15,22.85,23.54,24.23,24.91,25.58,26.24,26.89,27.54,28.16,28.75,29.32,29.85,30.35,30.82,31.28,31.72,32.15,32.57,33,33.46,33.96,34.51,35.1,35.73,36.38,37.06,37.76,38.48,40.24379755,42.0075951,43.77139265,45.5351902,47.29898776,49.06278531,50.82658286,52.59038041,54.35417796,56.11797551,57.88177306,59.64557061,61.40936816,63.17316571,64.93696327,66.70076082,68.46455837,70.22835592,71.99215347,73.75595102,75.51974857,77.28354612,79.04734367,80.81114122,82.57493878,84.33873633,86.10253388,87.86633143
24,Angola,6.05,6.18,6.32,6.48,6.64,6.81,6.99,7.18,7.4,7.64,7.9,8.19,8.49,8.79,9.06,9.32,9.56,9.8,10.05,10.33,10.65,11,11.37,11.74,12.11,12.45,12.79,13.14,13.51,13.93,14.39,14.89,15.42,15.98,16.54,17.12,17.71,18.31,18.93,19.55,20.18,20.82,21.77432082,22.72864163,23.68296245,24.63728327,25.59160408,26.5459249,27.50024571,28.45456653,29.40888735,30.36320816,31.31752898,32.2718498,33.22617061,34.18049143,35.13481224,36.08913306,37.04345388,37.99777469,38.95209551,39.90641633,40.86073714,41.81505796,42.76937878,43.72369959,44.67802041,45.63234122,46.58666204,47.54098286
204,Benin,2.97,3.04,3.11,3.19,3.26,3.35,3.43,3.52,3.62,3.72,3.82,3.93,4.05,4.16,4.29,4.41,4.55,4.69,4.84,5,5.18,5.38,5.58,5.79,5.99,6.18,6.36,6.55,6.74,6.95,7.18,7.42,7.67,7.92,8.18,8.44,8.71,8.97,9.24,9.51,9.78,10.05,10.51065918,10.97131837,11.43197755,11.89263673,12.35329592,12.8139551,13.27461429,13.73527347,14.19593265,14.65659184,15.11725102,15.5779102,16.03856939,16.49922857,16.95988776,17.42054694,17.88120612,18.34186531,18.80252449,19.26318367,19.72384286,20.18450204,20.64516122,21.10582041,21.56647959,22.02713878,22.48779796,22.94845714
72,Botswana,0,0,0,0,0,0,0,0,0,0,1.03,1.07,1.11,1.15,1.19,1.22,1.26,1.3,1.34,1.38,1.43,1.47,1.51,1.55,1.58,1.62,1.66,1.69,1.73,1.76,1.78,1.81,1.83,1.86,1.88,1.9,1.92,1.93,1.95,1.97,1.99,2,2.091673469,2.183346939,2.275020408,2.366693878,2.458367347,2.550040816,2.641714286,2.733387755,2.825061224,2.916734694,3.008408163,3.100081633,3.191755102,3.283428571,3.375102041,3.46677551,3.55844898,3.650122449,3.741795918,3.833469388,3.925142857,4.016816327,4.108489796,4.200163265,4.291836735,4.383510204,4.475183673,4.566857143
120,Cameroon,6.95,7.13,7.33,7.53,7.74,7.96,8.19,8.43,8.67,8.93,9.2,9.48,9.77,10.07,10.38,10.7,11.03,11.37,11.72,12.07,12.43,12.8,13.17,13.55,13.93,14.32,14.71,15.11,15.51,15.93,16.35,16.78,17.22,17.68,18.14,18.61,19.1,19.6,20.1,20.62,21.16,21.7,22.69465714,23.68931429,24.68397143,25.67862857,26.67328571,27.66794286,28.6626,29.65725714,30.65191429,31.64657143,32.64122857,33.63588571,34.63054286,35.6252,36.61985714,37.61451429,38.60917143,39.60382857,40.59848571,41.59314286,42.5878,43.58245714,44.57711429,45.57177143,46.56642857,47.56108571,48.55574286,49.5504
178,Congo,1.38,1.42,1.46,1.51,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.91,1.96,2.02,2.08,2.14,2.2,2.26,2.32,2.38,2.45,2.51,2.58,2.65,2.72,2.8,2.88,2.96,3.04,3.13,3.21,3.28,3.36,3.45,3.54,3.65,3.76,3.88,4,4.11,4.23,4.34,4.538931429,4.737862857,4.936794286,5.135725714,5.334657143,5.533588571,5.73252,5.931451429,6.130382857,6.329314286,6.528245714,6.727177143,6.926108571,7.12504,7.323971429,7.522902857,7.721834286,7.920765714,8.119697143,8.318628571,8.51756,8.716491429,8.915422857,9.114354286,9.313285714,9.512217143,9.711148571,9.91008
384,Côte d'Ivoire,5.49,5.75,6.02,6.31,6.61,6.92,7.24,7.57,7.91,8.27,8.63,9.01,9.39,9.77,10.16,10.54,10.93,11.32,11.71,12.12,12.53,12.95,13.38,13.8,14.22,14.63,15.04,15.44,15.8,16.13,16.42,16.68,16.91,17.14,17.39,17.66,17.95,18.26,18.6,18.98,19.39,19.84,20.74940082,21.65880163,22.56820245,23.47760327,24.38700408,25.2964049,26.20580571,27.11520653,28.02460735,28.93400816,29.84340898,30.7528098,31.66221061,32.57161143,33.48101224,34.39041306,35.29981388,36.20921469,37.11861551,38.02801633,38.93741714,39.84681796,40.75621878,41.66561959,42.57502041,43.48442122,44.39382204,45.30322286
180,Democratic Republic of Congo,20.56,21.12,21.69,22.28,22.9,23.56,24.24,24.94,25.65,26.36,27.06,27.77,28.49,29.24,30.04,30.87,31.74,32.68,33.73,34.91,36.25,37.73,39.26,40.71,42.01,43.12,44.08,44.96,45.89,46.95,48.17,49.52,50.97,52.49,54.03,55.59,57.19,58.82,60.49,62.19,63.93,65.71,68.72193184,71.73386367,74.74579551,77.75772735,80.76965918,83.78159102,86.79352286,89.80545469,92.81738653,95.82931837,98.8412502,101.853182,104.8651139,107.8770457,110.8889776,113.9009094,116.9128412,119.9247731,122.9367049,125.9486367,128.9605686,131.9725004,134.9844322,137.9963641,141.0082959,144.0202278,147.0321596,150.0440914
818,Egypt,37.15,37.95,38.73,39.53,40.36,41.21,42.09,43.01,43.95,44.93,45.95,46.99,48.07,49.19,50.35,51.55,52.78,54.01,55.21,56.34,57.39,58.37,59.31,60.23,61.17,62.12,63.09,64.08,65.1,66.14,67.2,68.3,69.43,70.59,71.78,72.99,74.23,75.49,76.78,78.08,79.39,80.72,84.41994122,88.11988245,91.81982367,95.5197649,99.21970612,102.9196473,106.6195886,110.3195298,114.019471,117.7194122,121.4193535,125.1192947,128.8192359,132.5191771,136.2191184,139.9190596,143.6190008,147.318942,151.0188833,154.7188245,158.4187657,162.1187069,165.8186482,169.5185894,173.2185306,176.9184718,180.6184131,184.3183543
232,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,3.35,3.37,3.41,3.47,3.56,3.67,3.8,3.94,4.1,4.28,4.47,4.67,4.85,5.04,5.21,5.38,5.56,5.74,5.93,6.13,6.410979184,6.691958367,6.972937551,7.253916735,7.534895918,7.815875102,8.096854286,8.377833469,8.658812653,8.939791837,9.22077102,9.501750204,9.782729388,10.06370857,10.34468776,10.62566694,10.90664612,11.18762531,11.46860449,11.74958367,12.03056286,12.31154204,12.59252122,12.87350041,13.15447959,13.43545878,13.71643796,13.99741714
